artist_name,wiki_nationality,wiki_artist_start_date
BRYAN ADAMS,Canada,1975-01-01
Avicii,Sweden,2006-01-01
ROSA LINN,Armenia,2013-01-01
MAROON 5,Unknown,1994-01-01
JAMES MORRISON [+] NELLY FURTADO,Unknown,
Drake,Unknown,
Mario,Mushroom Kingdom,
Britney Spears,United States,1992-01-01
Mike11,Unknown,
JOE COCKER [+] JENNIFER WARNES,United States,1967-01-01
"Jessie Murph, Teddy Swims",Unknown,
"Dengaz, Seu Jorge",Unknown,
PLUTONIO,Portugal,2000-01-01
NELLY FURTADO feat. TIMBALAND,Unknown,
ZZOILO & AITANA,Spain,2017-01-01
LON3R JOHNY x PLUTONIO,Unknown,
Ellie Goulding,United Kingdom,2009-01-01
MIGUEL CARMONA FT. RITA ROCHA,Unknown,
Calema,Unknown,2011-01-01
American Hi-Fi,Unknown,1998-01-01
MICHAEL MARCAGI,Unknown,
BLUAY FEAT. IRINA BARROS,Unknown,
"ADAM PORT, STYV, KEINEMUSIK, ORSO, MALACHII",Unknown,
MURTA,Unknown,
Lorde,New Zealand,2009-01-01
NUNO RIBEIRO,Portugal,1977-09-09
"DISTURBED, CYRIL REMIX",Unknown,
TRAVIS SCOTT,United States,2008-01-01
Halsey,Unknown,
CHRIS BROWN,United States,2002-01-01
BARBARA BANDEIRA,Portugal,2011-01-01
Polo G,United States,2017-01-01
John Mayer,United States,1998-01-01
Maro,Unknown,
Irma,Unknown,
DAVID GUETTA,France,1986-01-01
"ANJOS, NUNO RIBEIRO",Portugal,1974-08-26
Djo,Unknown,
BÁRBARA TINOCO,Portugal,1998-11-16
EVANESCENCE,Unknown,1994-01-01
Soraia Tavares,Unknown,
"Matias Damásio, Heber",Angola,2000-01-01
THE WEEKND feat. DAFT PUNK,Unknown,
CALVIN HARRIS feat. RIHANNA,Unknown,
DJ TOPO,Unknown,
Luan Pereira,Brazil,2000-04-21
BLACK EYED PEAS x J. BALVIN,Unknown,
BIA CABOZ,Unknown,
DEEJAY TELIO & YASMINE,Unknown,
IVANDRO,Brazil,1930-05-26
"David Guetta, Sam Martin",Unknown,
BAD BUNNY & JHAY CORTEZ,Unknown,
Arizona Zervas,United States,2016-01-01
"KALI UCHIS, PESO PLUMA",Mexico,2020-01-01
LUISA SONZA feat. KAYBLACK,Unknown,
Post Malone ,United States,2011-01-01
CHARLIE JEER,Unknown,
