track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
ENVOLVER,ANITTA,Versions of Me,2022-04-12,193805,68,funk pop
Sagrado Profano,Luísa Sonza,Escândalo Íntimo,2024-05-28,196601,72,funk carioca
WATER,TYLA,Water,2023-07-28,200255,84,""
Bad Guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,81,art pop
Se Eu,"Fernando Daniel, Melim",Presente,2020-07-10,196400,47,portuguese pop
TEU OLHAR,MATIAS DAMÁSIO,Augusta,2018-10-26,239856,48,kizomba
KISS ME MORE,"DOJA CAT, SZA",Planet Her,2021-06-25,208666,80,dance pop
WHAT LOVERS DO,"MAROON 5, SZA",Red Pill Blues (Deluxe),2018-06-15,199849,65,pop
You're Gonna Live Forever in Me,John Mayer,The Search for Everything,2017-04-14,190013,68,neo mellow
In the Waiting Line,Zero 7,Simple Things,2001-01-01,271520,59,downtempo
MADE FOR ME,MUNI LONG,Made For Me,2023-09-15,188000,71,indie r&b
BEGGIN,MANESKIN,Chosen,2017-12-08,211560,82,indie rock italiano
Are You with Me,Lost Frequencies,Less Is More,2016-10-21,138013,68,belgian edm
Lonely,"Justin Bieber, Benny Blanco",Justice,2021-03-19,149189,73,canadian pop
Conexões de Máfia,Matuê,Conexões de Máfia (feat. Rich The Kid),2023-04-30,221538,67,r&b brasileiro
MOCA,IVANDRO,Trovador,2024-02-16,180491,53,hip hop tuga
SHAPE OF YOU,ED SHEERAN,÷ (Deluxe),2017-03-03,233712,85,pop
Kill Bill,SZA,SOS,2022-12-08,153946,86,pop
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,210688,89,""
Old Town Road [remix],Lil Nas X,7 EP,2019-06-21,157066,72,lgbtq+ hip hop
Luxemburgo,Plutónio,Luxemburgo,2024-10-01,211860,53,hip hop tuga
Skin,Rag'n'Bone Man,Human (Deluxe),2017-02-10,239626,66,neo soul
COMO TU,BARBARA BANDEIRA feat. IVANDRO,Finda,2023-10-06,207873,51,portuguese pop
LUA,IVANDRO,Trovador,2024-02-16,192417,57,hip hop tuga
À Vontade,ProfJam,#FFFFFF,2019-02-22,336528,42,hip hop tuga
BAD HABITS,ED SHEERAN,=,2021-10-25,230746,80,pop
Put a little Love on Me,Niall Horan,Heartbreak Weather,2020-03-13,224585,65,pop
Industry Baby,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,212000,73,lgbtq+ hip hop
Lua,Ivandro ,Trovador,2024-02-16,192417,57,hip hop tuga
AS VEZES,D.A.M.A,Uma Questão de Principio,2015-06-02,223013,38,portuguese pop
POCPOC,Pedro Sampaio,POCPOC,2023-11-23,127384,67,funk carioca
Clocks,Coldplay,A Rush of Blood to the Head,2002-08-27,307879,82,permanent wave
Addicted to You,Avicii,True,2013-01-01,148386,71,dance pop
DNA (LOVIN YOU),BILLY GILLIES feat. HANNAH BOLEYN,DNA (Loving You) [feat. Hannah Boleyn],2023-07-28,164919,66,bouncy house
ROMANCE DE CINEMA,DOMINGUES,Romance de Cinema,2020-11-20,235862,50,hip hop tuga
AGORA HILLS,DOJA CAT,Scarlet,2023-09-20,265360,76,dance pop
Grenade,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,222091,76,dance pop
GIMME LOVE,SIA,Gimme Love,2023-09-13,177921,65,pop
HEY BROTHER,AVICII,True,2013-01-01,255093,76,dance pop
First Class,Jack Harlow,Come Home The Kids Miss You,2022-05-06,173947,72,deep underground hip hop
LAST FRIDAY NIGHT (T.G.I.F.),KATY PERRY,Teenage Dream,2010-01-01,230733,74,pop
THE TRAVELLER,CHRIS DE BURGH,Best Moves,1981-01-01,250533,26,new wave pop
BUBALU,FEID & REMA,"MOR, No Le Temas a La Oscuridad",2023-09-29,228186,66,colombian pop
Bad Dreams,Teddy Swims,Bad Dreams,2024-09-13,184577,83,""
Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton",The Heist,2012-10-09,258431,82,pop rap
DEVIA IR,WET BED GANG,Devia Ir,2018-07-20,293748,57,hip hop tuga
Saudade,"Miguel Araújo, Os Quatro e Meia",Saudade,2024-03-08,248880,43,portuguese pop
Todo de Ti,Rauw Alejandro,VICE VERSA,2021-12-10,199604,79,puerto rican pop
LET HER GO,PASSENGER,All The Little Lights,2012-08-28,252733,72,folk-pop
Europa,Mizzy Miles,EUROPA (feat. Gson),2022-06-01,216800,51,hip hop tuga
Bam Bam,Camila Cabello,Familia,2022-04-07,206070,69,dance pop
Kiss Me More,Doja Cat,Planet Her,2021-06-25,208666,80,dance pop
QUERO É VIVER,SARA CORREIA,+ Do Coração,2022-03-25,218160,39,fado
