radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,03:27:00.000000000,Diz-se Aí (2 Pares de Botas),"Nena [pt], Joana Almeirante"
Rádio Comercial,2024-10-27,03:24:00.000000000,In the Stars,Benson Boone
Rádio Comercial,2024-10-27,03:20:00.000000000,Firework,Katy Perry
Rádio Comercial,2024-10-27,03:17:00.000000000,Faz Bem,"Bluay, Julinho Ksd"
Rádio Comercial,2024-10-27,03:14:00.000000000,A Bar Song (Tipsy),Shaboozey
Rádio Comercial,2024-10-27,03:10:00.000000000,The Man who Can't Be Moved,The Script
Rádio Comercial,2024-10-27,03:07:00.000000000,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,03:03:00.000000000,Natural,Imagine Dragons
Rádio Comercial,2024-10-27,03:01:00.000000000,Stick Season,Noah Kahan
Rádio Comercial,2024-10-27,02:57:00.000000000,Hips Don't Lie,"Shakira, Wyclef Jean"
Rádio Comercial,2024-10-27,02:54:00.000000000,Lua,Ivandro
Rádio Comercial,2024-10-27,02:50:00.000000000,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,02:48:00.000000000,O Teu Cheiro,Bispo
Rádio Comercial,2024-10-27,02:44:00.000000000,Waiting for Love,Avicii
Rádio Comercial,2024-10-27,02:41:00.000000000,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,02:37:00.000000000,Wake Me Up when September Ends,Green Day
Rádio Comercial,2024-10-27,02:33:00.000000000,Lucky,Halsey
Rádio Comercial,2024-10-27,02:29:00.000000000,Dialectos da Ternura,Da Weasel
Rádio Comercial,2024-10-27,02:25:00.000000000,Easy on Me,Adele
Rádio Comercial,2024-10-27,02:22:00.000000000,Chandelier,Sia
Rádio Comercial,2024-10-27,02:18:00.000000000,Nunca Mais Vou Lá Estar,"Miguel Carmona, Rita Rocha"
Rádio Comercial,2024-10-27,02:15:00.000000000,Lose Control,Teddy Swims
Rádio Comercial,2024-10-27,02:12:00.000000000,Power Over Me,Dermot Kennedy
Rádio Comercial,2024-10-27,02:09:00.000000000,Amanhã,Os Quatro e Meia
Rádio Comercial,2024-10-27,02:04:00.000000000,A Sky Full of Stars,Coldplay
Rádio Comercial,2024-10-27,02:01:00.000000000,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,01:57:00.000000000,Girls Like You,Maroon 5
Rádio Comercial,2024-10-27,01:54:00.000000000,Celestial,Ed Sheeran
Rádio Comercial,2024-10-27,01:51:00.000000000,Benção,"Mizzy Miles, Bispo, Van Zee"
Rádio Comercial,2024-10-27,01:47:00.000000000,Jar of Hearts,Christina Perri
Rádio Comercial,2024-10-27,01:43:00.000000000,Heaven,Cian Ducrot
Rádio Comercial,2024-10-27,01:41:00.000000000,A Coisa Vai Andando,Beatriz Caixinha
Rádio Comercial,2024-10-27,01:38:00.000000000,Dancing In the Flames,The Weeknd
Rádio Comercial,2024-10-27,01:34:00.000000000,Cold Heart [Pnau remix],"Elton John, Dua Lipa"
Rádio Comercial,2024-10-27,01:31:00.000000000,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,01:28:00.000000000,Moonlit Floor,Lisa [th]
Rádio Comercial,2024-10-27,01:25:00.000000000,Arcade [remix],"Duncan Laurence, Fletcher"
Rádio Comercial,2024-10-27,01:23:00.000000000,Sorte A Nossa,Catarina Filipe
Rádio Comercial,2024-10-27,01:20:00.000000000,Heaven,Niall Horan
Rádio Comercial,2024-10-27,01:17:00.000000000,Juramento Eterno de Sal,Álvaro de Luna
Rádio Comercial,2024-10-27,01:13:00.000000000,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,01:09:00.000000000,feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,01:07:00.000000000,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,01:03:00.000000000,Te Amo,Calema
Rádio Comercial,2024-10-27,01:00:00.000000000,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,00:58:00.000000000,Make You Feel My Love,Adele
Rádio Comercial,2024-10-27,00:54:00.000000000,Get Lucky,"Daft Punk, Pharrell Williams"
Rádio Comercial,2024-10-27,00:50:00.000000000,Ao Teu Ouvido,"Buba Espinho, Bárbara Tinoco"
Rádio Comercial,2024-10-27,00:47:00.000000000,Houdini,Eminem
Rádio Comercial,2024-10-27,00:43:00.000000000,Bom Dia,"Bluay, Irina Barros"
Rádio Comercial,2024-10-27,00:40:00.000000000,Love Yourself,Justin Bieber
Rádio Comercial,2024-10-27,00:36:00.000000000,Agarra em Mim,"Ana Moura, Pedro Mafama"
Rádio Comercial,2024-10-27,00:33:00.000000000,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,00:29:00.000000000,Big Yellow Taxi,Counting Crows
Rádio Comercial,2024-10-27,00:25:00.000000000,O Tempo Vai Esperar,Os Quatro e Meia
Rádio Comercial,2024-10-27,00:23:00.000000000,Belong Together,Mark Ambor
Rádio Comercial,2024-10-27,00:19:00.000000000,Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton"
Rádio Comercial,2024-10-27,00:16:00.000000000,Before I Lose My Voice,Richie Campbell
Rádio Comercial,2024-10-27,00:13:00.000000000,As It Was,Harry Styles
Rádio Comercial,2024-10-27,00:10:00.000000000,How to Save a Life,The Fray
Rádio Comercial,2024-10-27,00:06:00.000000000,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,00:03:00.000000000,Dog Days Are Over,Florence and the Machine
Rádio Comercial,2024-10-26,23:59:00.000000000,Love The Hell Out Of You,Lewis Capaldi
Rádio Comercial,2024-10-26,23:56:00.000000000,Levitating,"Dua Lipa, DaBaby"
Rádio Comercial,2024-10-26,23:52:00.000000000,Times Like These [acústico],Foo Fighters
Rádio Comercial,2024-10-26,23:49:00.000000000,Contra Probabilidades,"Bispo, Julinho Ksd"
Rádio Comercial,2024-10-26,23:45:00.000000000,Close To You,Gracie Abrams
Rádio Comercial,2024-10-26,23:38:00.000000000,Believer,Imagine Dragons
Rádio Comercial,2024-10-26,23:36:00.000000000,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-26,23:29:00.000000000,Locked Out of Heaven,Bruno Mars
Rádio Comercial,2024-10-26,23:26:00.000000000,Can't Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-26,23:23:00.000000000,Snap,Rosa Linn
Rádio Comercial,2024-10-26,23:19:00.000000000,Se Eu,"Fernando Daniel, Melim"
Rádio Comercial,2024-10-26,23:16:00.000000000,I Need Your Love,"Calvin Harris, Ellie Goulding"
Rádio Comercial,2024-10-26,23:12:00.000000000,The Story,Brandi Carlile
Rádio Comercial,2024-10-26,23:09:00.000000000,Austin,Dasha
Rádio Comercial,2024-10-26,23:06:00.000000000,Como Tu,"Bárbara Bandeira, Ivandro"
